author,book_id,inputdate,price,title,upaddress,url
京鼎动漫,11170631747, /2022-02-01,¥14.90, 大中华寻宝记神兽发电站1 大中华寻宝系列书5-6-8-10-12岁小学生科普百科漫画书世界中国恐龙新疆海南秦朝内蒙古寻宝,二十一世纪出版社集团,https://product.dangdang.com/11170631747.html
哒哒猫、琳雅艺术工作室编绘,29544897, /2023-01-01,¥125.60, 墨点美术 漫画临摹素材集3册装 新手入门超全漫画素材书集临摹集动漫人物教材书, ,https://product.dangdang.com/29544897.html
京鼎动漫,1805167202, ,¥17.30, 恐龙世界寻宝记1大中华寻宝记系列全套自营同款漫画书7-10岁漫画书11-14岁三四年级课外阅读书推荐五六年级课外阅读推荐,二十一世纪出版社,https://product.dangdang.com/1805167202.html
飞乐鸟,11753244742, /2010-06-01,¥6.21, 超级动漫秀 漫画素描综合宝典 【正版图书】,中国青年出版社,https://product.dangdang.com/11753244742.html
编者:赵建峰//王淑英//李娜,1355508267, /2017-08-01,¥13.10, 三维动漫项目实例--Maya(计算机类高职高专十三五规划教材),西安电子科大,https://product.dangdang.com/1355508267.html
编者:赵建峰//王淑英//李娜,1035145579, /2017-08-01,¥12.95, 三维动漫项目实例--Maya(计算机类高职高专十三五规划教材),西安电子科大,https://product.dangdang.com/1035145579.html
编者:赵建峰//王淑英//李娜,1085737569, /2017-08-01,¥12.74, 三维动漫项目实例--Maya(计算机类高职高专十三五规划教材),西安电子科大,https://product.dangdang.com/1085737569.html
C?C动漫社,11759071089, /2013-07-01,¥15.07, 超级动漫大图鉴:美少女篇【正版书籍】,中国青年出版社,https://product.dangdang.com/11759071089.html
熊亮等 著,11757560089, /2013-07-01,¥36.02, 中国动漫：百位插画师黑白作品精选【正版书籍】,上海动画大王文化传媒有限公司，上海人民美术出版社,https://product.dangdang.com/11757560089.html
[日]增田弘道 李希望 译,11763528142, /2012-07-01,¥13.80, 日本动漫产业的商业运作模式 [日]增田弘道 李希,龙门书局,https://product.dangdang.com/11763528142.html
"李连璧,周祥 主编",11181621080, /2016-09-01,¥20.00, 动漫后期合成与编辑 清华大学出版社,清华大学出版社,https://product.dangdang.com/11181621080.html
姚桂萍 贾建民,25122683, /2017-07-01,¥50.60, 动漫影视作品赏析,清华大学出版社,https://product.dangdang.com/25122683.html
周宗凯 编著,1440595703, /2008-12-12,¥26.10, 动漫角色设计 周宗凯 编著 著作,西南师范大学出版社,https://product.dangdang.com/1440595703.html
编者:陈爱玲//陈希玲//宋书魁//崔淼//陈立博等|总主编:孙...,1765530636, /2015-11-01,¥17.55, 影视动漫衍生产品设计(十三五全国高校动漫游戏专业骨干课程权威教材),海洋,https://product.dangdang.com/1765530636.html
羽奕,29497581, /2022-09-01,¥59.80, 三国演义漫画有声书 中国四大名著动漫发声绘本3-6岁儿童点读书,北京时代华文书局,https://product.dangdang.com/29497581.html
哔梦,11264367267, /2022-10-01,¥21.00, 【赠明信片+书签】时光代理人3 哔梦著 高口碑动漫抓帧漫画 根据《时光代理人》动画剧集画面制作而成 B站悬疑推理动漫漫画,花山文艺出版社,https://product.dangdang.com/11264367267.html
